UMAP1,UMAP2,Hour,Arrest,Time_Period
12.327176,4.364839,12,False,Day (6AM-6PM)
-4.270207,7.4658804,13,True,Day (6AM-6PM)
-3.6190305,8.670606,21,False,Night (6PM-6AM)
13.206276,9.576297,14,False,Day (6AM-6PM)
12.053574,1.213766,16,False,Day (6AM-6PM)
-4.1509714,8.002179,20,False,Night (6PM-6AM)
11.307117,9.417125,14,False,Day (6AM-6PM)
-3.7630708,4.852044,23,False,Night (6PM-6AM)
13.183827,3.8220563,18,True,Night (6PM-6AM)
13.591548,8.428615,12,True,Day (6AM-6PM)
8.424464,9.021268,5,True,Night (6PM-6AM)
9.838467,7.709258,1,False,Night (6PM-6AM)
15.269579,3.7495844,18,False,Night (6PM-6AM)
14.454248,6.1904974,19,True,Night (6PM-6AM)
9.94521,8.075349,1,True,Night (6PM-6AM)
-3.5723865,6.087603,10,False,Day (6AM-6PM)
9.33899,8.556538,4,False,Night (6PM-6AM)
8.034803,9.314954,11,True,Day (6AM-6PM)
10.950816,0.92798275,20,False,Night (6PM-6AM)
12.513064,0.17978701,19,False,Night (6PM-6AM)
14.096638,4.2780256,18,False,Night (6PM-6AM)
7.1056633,3.7477129,1,True,Night (6PM-6AM)
11.174643,5.1732817,6,False,Day (6AM-6PM)
7.735616,5.4977126,11,False,Day (6AM-6PM)
9.95823,3.899029,6,False,Day (6AM-6PM)
13.341403,3.2832854,21,False,Night (6PM-6AM)
11.055857,1.164688,20,False,Night (6PM-6AM)
12.329353,2.3961322,18,False,Night (6PM-6AM)
9.013339,9.6987095,9,False,Day (6AM-6PM)
12.054208,0.50274044,15,True,Day (6AM-6PM)
-1.4396645,7.320761,10,False,Day (6AM-6PM)
11.843511,0.3088035,21,False,Night (6PM-6AM)
-1.4610988,7.7658987,1,False,Night (6PM-6AM)
7.812272,1.700302,5,False,Night (6PM-6AM)
13.725371,7.8017716,20,False,Night (6PM-6AM)
8.248442,2.1105936,0,False,Night (6PM-6AM)
13.324157,7.1287193,13,False,Day (6AM-6PM)
-3.7834315,2.9536283,20,False,Night (6PM-6AM)
11.563466,11.08326,12,False,Day (6AM-6PM)
9.552922,8.401839,8,False,Day (6AM-6PM)
12.35345,1.3176223,13,False,Day (6AM-6PM)
7.7267046,8.827042,2,False,Night (6PM-6AM)
8.28423,1.9633253,4,False,Night (6PM-6AM)
14.445524,4.0184274,18,True,Night (6PM-6AM)
9.265774,7.6938777,2,False,Night (6PM-6AM)
-4.5025063,7.5182,20,False,Night (6PM-6AM)
8.549274,8.763928,9,False,Day (6AM-6PM)
