TSNE1,TSNE2,Hour,Arrest,Time_Period
-39.780926,-23.110195,15,False,Day (6AM-6PM)
22.299757,73.44855,12,True,Day (6AM-6PM)
-10.784291,-88.0864,12,False,Day (6AM-6PM)
-11.194664,4.244399,5,False,Night (6PM-6AM)
32.75803,77.96245,23,False,Night (6PM-6AM)
20.283295,55.01812,22,False,Night (6PM-6AM)
-40.750614,41.7195,8,False,Day (6AM-6PM)
-52.410114,9.961256,0,False,Night (6PM-6AM)
44.522118,-40.25506,22,True,Night (6PM-6AM)
-72.12211,14.823071,0,False,Night (6PM-6AM)
25.028788,-70.402374,14,False,Day (6AM-6PM)
48.28873,46.971367,2,False,Night (6PM-6AM)
21.896572,-63.402485,23,False,Night (6PM-6AM)
24.061941,-32.70397,21,False,Night (6PM-6AM)
-2.318022,21.067308,3,False,Night (6PM-6AM)
-30.22206,71.599075,21,True,Night (6PM-6AM)
-52.557064,12.469186,11,False,Day (6AM-6PM)
-45.61191,-41.285213,15,False,Day (6AM-6PM)
-34.562717,65.49198,20,False,Night (6PM-6AM)
65.745895,23.916653,1,False,Night (6PM-6AM)
-58.396637,-36.335667,23,False,Night (6PM-6AM)
-8.28318,-46.018303,19,True,Night (6PM-6AM)
-11.906326,-86.101395,13,False,Day (6AM-6PM)
-0.33479276,-56.191677,14,False,Day (6AM-6PM)
-6.245171,94.79402,15,False,Day (6AM-6PM)
36.74172,-21.638569,19,False,Night (6PM-6AM)
-5.0189295,-77.61694,19,False,Night (6PM-6AM)
-57.02037,-42.193794,22,False,Night (6PM-6AM)
28.394836,11.059311,0,False,Night (6PM-6AM)
-2.392636,24.020458,9,False,Day (6AM-6PM)
71.45524,-19.63192,18,False,Night (6PM-6AM)
-41.958836,-14.511785,18,False,Night (6PM-6AM)
-51.462826,-38.774715,16,False,Day (6AM-6PM)
-30.83652,7.5416594,3,False,Night (6PM-6AM)
-9.945778,-45.684074,13,True,Day (6AM-6PM)
35.05921,40.924217,5,False,Night (6PM-6AM)
-8.759436,90.31924,12,False,Day (6AM-6PM)
41.93263,-12.253289,18,False,Night (6PM-6AM)
-37.527542,-40.16956,19,False,Night (6PM-6AM)
48.075,6.230473,8,True,Day (6AM-6PM)
21.408434,18.306496,1,False,Night (6PM-6AM)
7.7992826,4.8528285,9,False,Day (6AM-6PM)
28.547325,79.053116,14,False,Day (6AM-6PM)
-27.040087,62.00432,17,False,Day (6AM-6PM)
47.350983,-21.14966,23,False,Night (6PM-6AM)
-74.242516,-36.043396,16,True,Day (6AM-6PM)
-14.650629,45.726803,0,False,Night (6PM-6AM)
-64.47263,25.560343,7,False,Day (6AM-6PM)
-20.664087,-59.695316,20,True,Night (6PM-6AM)
73.71941,-15.52641,14,True,Day (6AM-6PM)
-76.522804,-4.0424266,8,False,Day (6AM-6PM)
39.818527,40.67271,1,False,Night (6PM-6AM)
-13.26187,68.119354,16,False,Day (6AM-6PM)
-52.695118,6.893737,10,True,Day (6AM-6PM)
-5.19373,52.639065,0,False,Night (6PM-6AM)
30.070646,-18.822748,23,False,Night (6PM-6AM)
24.142742,-35.939205,16,False,Day (6AM-6PM)
-40.953278,-28.011911,15,True,Day (6AM-6PM)
-26.613287,-32.67212,20,False,Night (6PM-6AM)
-23.522627,-77.994125,16,False,Day (6AM-6PM)
